cleantext,sentiment_type_training
nitishkumar reiterates his full support for demonetization nice to know that but might not please lalu too much,Positive
nipfp one pager on demonetization the cash shortage and blackmoney by ashokklahiri pic twitter com csly8uwhnf,Neutral
newsdog analysis demonetization economicsbehind economics behind demonetization of r note in india,Neutral
new r note with extra security feature in few month economic affair secretary demonetization,Neutral
new note issued to people in bhopal demonetization,Neutral
new blockbuster released nah cleanindia demonetization currencyban chakan pune,Neutral
nepal team in india to sort out demonetization woe world news hindustan time â,Neutral
neither swissbank retrieval nor id nor demonetization will bring promised 15lakhs to the commonman rather it will create undue hassle,Negative
ndtv rt gadgets360 this will help you in your search for cash demonetization â,Negative
naveen welcome demonetization of highercurrency note webocoin buybitcoin sellbitcoin,Positive
narendramodi working overnight to solve problem being faced by common men on demonetization,Negative
narendramodi sir you had to leave ur family for the nation we the nation a a family are with u iamwithmodi kadakchai demonetization,Positive
narendramodi sir we are always dr with you in all your decision demonetization is the bestplan to take corruptmoneyout proudofyou,Positive
narendramodi sir hat off to you can t get more happy than this demonetization salute indiafightscorruption standingstrong,Positive
narendramodi makeinindia once again proved honesty is best policy demonetization economicrevoltutionagainstcorruption jaihobharat,Positive
narendramodi good move demonetization long queue can state govt help in some way providing basic service plz start with bjp state,Positive
narendramodi citizen stand with you for success of revolutionary step against black money their wellbeing is your duty demonetization,Positive
narendramodi arunjaitley pmoindia pls deposit 4k in bpl jandhan account a reward to poor for support to demonetization,Neutral
narendramodi appeal to monetise household gold fell on deaf ear but demonetization buoyed liquidity hope low interest regime ensues,Neutral
namo namo begining of new india after demonetization dedicated to pm from super kid must watch â pic twitter com 8rumhe4o9o,Positive
n the govt ha failed to spell out the demonetization directive in clear word related to hospital and intl traveller,Negative
n demonetization iamwithmodi pls counter false rumour u cm across evil force cn sprd rumrs coz gud 1 oft rmn silent b a force gud,Neutral
n demonetization iamwithmodi if u r not in a cash crunch pls give it a week b4 gng to the bank let most needy be served first,Positive
my right of passage a an nri in delhi confronting the demon of demonetization at the rbi struggling harassed multitude pic twitter com 1iygjywydt,Negative
my child ha cancer we can t buy food â but modi say everyone is happy and thanking the govt demonetization india,Negative
my cash spends went down card spends too by demonetization myyearinreview via walnut app getwalnutapppic twitter com ltoiel7nty,Neutral
my all support for this brilliant move demonetization only one thing could have saved much inconvenience adequate stock of r pmoindia,Positive
must watch if you know marathi and want to dig into demonetization â,Neutral
must do to deal with post demonetization cash crunch â,Neutral
mumbaibjp rt pib_india here s the fine detail detailed press release from finminindia on demonetization of râ pic twitter com qt80tjlzju,Neutral
most oppose for demonetization is done by tmc they must by hurt most mamatawithtalibanifatwa,Positive
most digitalised nationalised bank collected fake note demonetization while cooperative bank restricted due to same reason,Neutral
more than the cost of demonetization recovered now the rest of benefit of notebandi is nation s profit â,Positive
moon is also happy with the demonetization scheme even it started appearing larger supermoon2016 demonetization currencyswitch,Neutral
modisurgicalstrikeoncommonman demonetization paid the mason thru cheque bought conduit pipe from vendor through card narendramodi,Neutral
modiji is so smart that he did demonetization to kill opposition party but he s not so smart that he could manage you aaptards,Positive
modi wasted oppty to put ambedkar on note demonetization,Neutral
modi s demonetization move put a chennai wedding on hold,Neutral
modi ji you said that changing note will stop corruption if anyone asks for a bribe now do you promise to resign demonetization feku,Negative
modi ji aren t you leading a squint eyed government target somewhere else but surgical strike against own countryman demonetization,Negative
modi is not only a surname but it is short form of master of developing india m o d i demonetization blackmoney,Positive
modi demonetization ha it ended black money or just harmed india s economy pic twitter com gmvdgfe3jo,Neutral
mjhinger nicks103 agentsaffron how will you ensure it this is just another hrmkhri for mayhem like demonetization,Neutral
mjhinger nicks103 agentsaffron how will you ensure it this is just another hrmkhri for mayhem like demonetization,Negative
misabharti salmansoz salman7khurshid samyagdrsti after demonetization mgnregs job hit rural household â,Negative
midnight discussion wa organized last night at ifmr sricity on demonetization of india currency great,Neutral
met hon pm shri narendramodi ji congratulated him on taking a bold step of demonetization thanked him on behalf of d people of r nation pic twitter com lqi8ca3dqw,Neutral
maya kejri and congress speaking in same tone obviously give the impression of them being hurt really bad with demonetization,Neutral
maxncheryl people outside ncr had no effect of odd even demonetization effect everyone from kashmir to kanyakumari,Neutral
marg fridayfacts ff possession of fake currency blackmoney punishable offence ipc1860 law india demonetization pic twitter com nawjw04bas,Neutral
many ppl r supporting govt by not going bank atm unnecessarily managing somehow help ease initial rush demonetization iamwithmodi â,Neutral
many ppl on twitter fb sm think govt employee are dumb only they are smart assume demonetization drive is not completely thought out,Neutral
mamataofficial wb is the hub of chit fund it gave sharda scam and many more demonetization will put check on chit fund,Neutral
mamatabanerjee call presidentmukherjee to brief about plight of common man demonetization currencycrisis httweets htkolkata â,Neutral
make donation to political party transparent that would yield greater blackmoneycleanup demonetization,Positive
maam there wa no separate line during the h m sale also yet most had no issue standing in the long queue demonetization atmspic twitter com 9hxlhjiqf5,Positive
luxury retailer brace for a slowdown in sale â demonetization versace gap nautica cartier,Neutral
ls2008 hindupost the member are directly hit by demonetization cry foul system wa choked for year free now,Positive
love in the time demonetization typographyinspired india demonetizationâ,Neutral
lol the affected one from demonetization move are not poor and middle class indian they are politician like sitaramyechury â,Positive
lol dillidurast say people are committing suicide due to demonetization what crap these people drum up â,Neutral
lol can t believe the medium is covering rober vadra s opinion on demonetization p â,Neutral
live govt s decision on demonetization is directed towards a cashless economy fm arunjaitley,Neutral
light are already off at my home we are officially poor blackmoney demonetization rs500rs1000 thedesistuff pakalupapito modi,Negative
licindiaforever policy premium online payment convenience fee applies going digital but old practice not conducive demonetization,Neutral
let u be clear that all who are supporting demonetization are not necessarily clean,Negative
let the rush subside before you step in to exchange note of old series helpeachother demonetization cashrush,Neutral
letâ s look at how the major realestate segment will fare post governmentâ s demonetization move pic twitter com jcvvsrzqv3,Neutral
let s discus the impact of demonetization on import in this month importerconnect share your view and win a giftvoucher,Neutral
lesson demonetization taught me â via mayuri6,Neutral
leader talking inconvenience of common man for demonetization wa the common man enjoying during the agitation bandh by these moron,Positive
latest movie playing in everyones life in a loop right now finding atm demonetization,Neutral
largest denomination note will be rupee worth about modi demonetization â,Neutral
lalu prasad eligible for a mon pension of 10k appears his earnings from chara ghotala ha been all spent on fly or is it demonetization,Neutral
lakh crore old currency note need to be securely stored till demonetization process is complete simply no infrastructure for this,Negative
kudos to government and our respected pm master stroke to curb corruption black money demonetization narendramodi,Positive
knightfrank_in report state that mmr residential sale is at it worst in the last seven year demonetization impact ndtvproperty,Negative
kashmir daily wage stonepelters lose their job because of demonetization,Negative
kartik shahani in talk with varindiamag on demonetization step to become a complete digital economy pic twitter com nlwgqd5aql,Neutral
kapilsibal ji please take up get a stay on this demonetization from sc tomorrow â,Neutral
kapil_kausik cnbc demonetization why such negativity cashless slow nd steady whenmobiles started possession not overnight,Positive
just in video nanapatekar reacts on demonetization and shivaji memorial statue watch now,Neutral
just in problem will be solved within a few day no need for panic arjunrammeghwal on demonetization pic twitter com jjwj9nbxec,Neutral
just in problem will be solved within a few day no need for panic arjunrammeghwal on demonetization pic twitter com jjwj9nbxec,Positive
just came across a dad whose baby is serious n hospital he is worried abt arranging note to avoid delay in treatment demonetization,Negative
jst come and say this near bank atm s queue where v people r standing y spending money on billboard demonetization,Neutral
journalist discus how demonetization is bad since most poor do not have bank account n then reveal their house help don t have account,Negative
jin jin black money holder ka list modi k paas already hai woh aaj govt propagandist banke phir rahe hai demonetization pic twitter com ub3wxtuy8q,Negative
jewellerystocks â hit by demonetization or still strong pic twitter com cqjyj1xspw,Neutral
jandhanyojana cn opn accnts thrgh vles 22cr accnts wth low inflow a huge money laundering scheme jdy demonetization notebanpic twitter com r72ieaju4q,Negative
jaitley explains reason behind demonetization it impact on economy praveendel bcbhartia,Neutral
iwonder if the goal is to move towards cashless economy why then a note low on utility denomination demonetization,Negative
itâ s been tough for small trader since demonetization,Negative
it not only now that queue are forming outside bank in demonetization happened too pic twitter com rnoa8vfrok,Neutral
it not happening for the first time demonetization india thingtoknow rs500 rs1000 oldcurrencies narendramodi demonetisationpic twitter com 1dsquhktks,Neutral
it is said that when a ship go down rat are the first to run these rat are screaming after demonetization,Positive
it is mayhem for the economically illiterate all governing body down to gram sabhas must inform and assist people demonetization,Negative
is there someplace that give simple statistic on what the government earned and spent on demonetization india,Neutral
investment outlook for after demonetization live webinar on 19th january pm register soon pic twitter com t797nhtp8b,Neutral
investment option in post demonetization article by ramganesh iyer co founder fisdom in moneycontrolcom pic twitter com ircghbafih,Neutral
introspective and practical read demonetization ullubanaoing â,Neutral
interesting article in india s business of fashion hereâ s why garment industry is upbeat despite demonetization â,Neutral
instruction issued to bank and post office for proper distribution of all denomination note â demonetization,Neutral
inspite of glitch in implementing demonetization initiative really appreciate the hard work put by bank employee,Negative
inspired by merylstreep s speech at the goldenglobes shabanazami will speak about demonetization at the filmfare harshild,Neutral
industrial output at month high in nov dispelling adverse demonetization apprehension india continues to grow makeinindia,Neutral
indirect cascading effect of narendramodi s demonetization that nobody care to mention â,Neutral
indiatvnews and journos and politician do not support this demonetization disconnect,Neutral
indian medium ha become spineless modia only foreugn medium bringing truth about this mess created by modern tughlaq demonetization,Negative
indian journo what do you think of demonetization in india american pic twitter com 3aagaqkpej,Neutral
â indian gdp to go down to cmie manmade downturn demonetization,Negative
indian favour demonetisation what about you demonetization,Positive
india vehicle sale dropped to lowest level since after modi s demonetization â via bfly,Neutral
india s total gdp in wa thousand crore in last day lakh crore ha been deposited in bank demonetization,Neutral
indiaâ s surprise demonetization of high value note result in bank run indiaâ sâ,Neutral
indiaâ s demonetization may lead to a recession the other view a logical perspective,Negative
india s demonetization looking good iip up for november â,Positive
india is w pmoindia in blackmoneycleanup demonetization don t spread lie panic u r pained blackmoney hoarder rashtrapatibhvn â,Neutral
india is still reeling from demonetization keeping secret to have maximum effect leadless planning advise but excellent narendramodi,Positive
india from destabilization of agriculture to demonetization â œmade in americaâ unite struggle defeat u puppet,Neutral
india feel the brunt of demonetization and electionnight all in the greater good possibly dumbfounded,Negative
india digital payment firm make a killing post demonetization emergingmarkets finance online news pic twitter com nw28pvqwih,Neutral
india demonetization good for bond currency investor emergingmarkets defotispic twitter com so0h4zpnwn,Positive
india demonetization demoditisationscam ache din bank cashier dy in bhopal after experiencing chest pain â,Neutral
india continues to boom despite demonetization exportingisgreat exporting â,Neutral
incorrect statement by amit shah this wont affect the rich guy he ha connects with only service class and poor people demonetization,Negative
income_tax_department decides to observe bank_account_depostis before demonetization tnews,Neutral
incl small denomination up to last mile incl via mobile banking van banking correspondent â demonetization,Neutral
incindia plan to win election over money who wa cribbing over demonetization system flawed electioncommision should intervene,Neutral
in the 10th volume of corner space find out how demonetization of the indian rupee ha affected cre more,Neutral
in pre match press conference he wa also asked about demonetization pitch par kiski puja ki gyi indian medium for you indveng,Neutral
in other news my fear for the stock market wasn t unfounded after the demonetization eleccioneseeuu2016 will be a double whammy,Neutral
in midst of demonetization chaos bitcoin purchase in india increase by percent indian government sâ pic twitter com cj07lfnao0,Neutral
in midst of demonetization chaos bitcoin purchase in india increase by percentâ,Neutral
in india wondering if it will change the indian life4any good demonetization,Negative
in every tweet good step by modi ji demonetization well i said it too it a good step but not the best modisurgicalstrikeoncommonman,Positive
in arunjaitley say how people will be ruined by demonetization of high value note â kanchangupta arunudoyb,Neutral
in accordance with the fact of the matter of the black money and it s owner doe the demonetization attack the source of the problem,Neutral
impact of demonetization on residential realestate ashwinderraj pic twitter com 9ddxxijiiu,Neutral
immediate repercussion of demonetization at the work place,Neutral
im so keen to see where this is going maybe modiji wa answering an inner calling demonetization â,Neutral
im impressed by demonetization am more impressed seeing how ppl govt company are cooperating each other for sake of it acchedin,Positive
if you re not worried about impact of demonetization on your money it mean you haven t gotten really rich yet definitely middle class,Negative
if we go by khadge cong view on demonetization two diff issue cashshortage ppl prob blackmoney cunningly clubbed together,Neutral
if this news is true this is precisely why narendramodi_in ji kept it secret and announced demonetization all of a sudden pic twitter com pt8ssq2clb,Neutral
if they deposited isn t that the goal of this move it is accounted now what s the agenda of demonizing demonetization arvindkejriwal â,Neutral
if swachh bharat wa about cleanliness demonetization seems to be the economic version of swachh bharat aimed,Positive
if successful demonetization can solve many problem so le make a constructive effort least we can do is support and be positive,Positive
if no one is unhappy then where is the black money who ha it people who don t pay any tax are happy too what s wrong demonetization,Negative
if modi doesn t want him to be remembered for november he must revoke demonetization and apologize to people officeofrg incindia,Negative
if demonetization wa such a great idea why is rupee weakening against u dollar,Negative
if demonetization is such a great success why is it that no one is willing to own it up govt say rbi asked for it rbi say govt advised,Negative
if arvindkejriwal really want to oppose demonetization then please don t exchange or deposit cash in bank archu243 instead burn it,Neutral
if anything today and the next couple of day will actually be the big billion day for flipkart amazonin and snapdeal demonetization,Neutral
if america did demonetization of the bill forget america the whole world would descend into chaos,Neutral
icicibank waiting still wondering why it took month for a simple request demonetization seems more and excuse now so getreal â,Negative
iamwithmodi tear for now and smile fr century choice is ours demonetization,Positive
iamwithmodi separatist are clueless their funders speechless stone pelter jobless pm kill bird in stone called demonetization,Positive
iamwithmodi on demonetization what abt you childrensday parliament indian army opposition arnabonblackmoney,Positive
iamwithmodi demonetization surgicalstrikes have fully changed the definition of narendramodi leadership decisive bold willing honest,Positive
i would request arvindkejriwal to rather concentrate on delhi and it pollution instead of making politics out of money demonetization,Neutral
i wa sure that demonetization hurt corrupt keep cribbing,Positive
i ve just withdrawn the cash without any hurdle demonetization narendramodi we are with u on this great movement,Positive
i think you will have to first find any demonetization fan who expected economic turnaround in the quarter of policy implementation,Neutral
i support demonetization waragainstblackmoney but arshadwarsi made some good point don t troll him,Positive
i strongly feel paapis behind roumer mongering to connect it later to demonetization tajinderbagga mediacrooks â,Neutral
i recollect the 1st demonetization i had exchanged note bt had a series of correspondence with rbi for next m,Neutral
i really want to know who these people are posing with bundle of new cash while we tax payer struggle to get even one note demonetization,Negative
i really pity on people who still support modi upsetting demonetization cashrush â,Negative
i only ask because hour after the announcement i haven t seen a single data driven story on demonetization,Neutral
i m watching for the outcome of pmoindia narendramodi w ajitdoval adgpi indiannavy iafindia chief on demonetization 8pmonnov8,Neutral
i just hope for the best pray that narendra modi will do smthing he is still the best hope even after demonetization,Positive
i hope the medium doe a stupendous job of primary reporting and data collection in the midst of this great experiment demonetization,Positive
i had take leave today and come home to give money a no atm s are working at my home place still i support demonetization,Positive
i feel u need to stop seeing this demonetization from the eye of one in eu there old currency wasnt illegal ekvichar_,Neutral
i don t think that internal corruption will be stop from village level public service sector in india demonetization blackmoney,Negative
i couldn t find any article about how this demonetization is causing such such loss to the gdp someone please help,Neutral
i am sure the organization who did this survey is anti national demonetization harharmodi,Positive
hypocrite and corrupt are coming out like rat come out of rat hole after they are smoked demonetization iamwithmodi,Positive
hsbc_in fantastic experience at your pune branch smiling courteous staff demonetization,Neutral
hr in queue and finally demonetization bank are trying to have process done a smoothly and quickly a possible,Neutral
how to realise the dream of cashless economy in india via fatimabohra demonetization money digitalindiapic twitter com musrwrdszs,Neutral
how to detect an atm card skimmer â staysecure demonetization security wearebangalore,Neutral
â how to cope with demonetization cope demonetization pic twitter com qzxzhjxxio,Neutral
how many time tmc delegate will be calling on rashtrapatibhvn on the same demonetization issue they must not drag him in2 thr politics,Neutral
how it get going reached to this bitter pill demonetization narendramodi swamy39 sagenaradamuni rahulsinhazeepic twitter com 6lmuh04pk1,Negative
how did the startup ecosystem respond to the demonetization of and note â â,Neutral
how can justify validity of this protest in corner when almost rest of india are supporting demonetization d better give up tmc,Positive
how aap will have money it s demonetization effect aap govn burnt all black money thanks pmoindia,Positive
hope there is sufficient currency in the market tom support can quickly turn to aggregated grievance demonetization in age of sm not easy,Neutral
honest people are happy and corrupt person are against demonetization,Positive
history repeat itself didyouknow ssbffacts demonetization,Neutral
himalayan task but we have faith on their ability incometaxindia blackmoney demonetization â,Positive
highly inefficient way of dealing demonetization,Negative
high quality question by pac to rbi guv on demonetization our mp are not all lalu yadavs and hd deve gowdas â,Neutral
here you go demonetization full video,Neutral
here s the fine detail detailed press release from finminindia on demonetization of r note pic twitter com ie0qyp7u9y,Neutral
here come the mother of all endorsement world bank appreciates pm modi s demonetization,Neutral
helping them mean supporting demonetization,Neutral
hello arunjaitley hiding behind secrecy logic for inadequate improper implementaton of demonetization isn t valid better is expected,Negative
heavy rush at bank across kerala to exchange old note demonetization â,Neutral
heart wrenching story of people suffering due to disaster called demonetization cashtration â,Negative
heard some sad incident from people because of demonetization this is how long queue look like outside bank rushforcash cashcleanuppic twitter com l45vxek9iv,Negative
haven t had breakfast for day inspite of having money in the account thanks to u pmoindia demonetization worstexperience,Negative
haven t had breakfast for day inspite of having money in the account thanks to u pmoindia demonetization worstexperience,Neutral
have to concede this demonetization ha been a political masterstroke achieves multiple objective re establishes govt credibility,Positive
have seen a lot of video of how common man is facing issue ovr demonetization it is scary and sad atleast stop mocking them mr pm,Negative
have a deposit above r 5l it mismatch could attract penalty demonetization â,Neutral
hat s off darjeeling hdfc staff hav decided to work till 11pm to help people n support demonetization gorkhaland â,Neutral
hasty unplanned demonetization by government congress pic twitter com khurt6govv,Neutral
hahahaha demonetization â,Neutral
haha my gym trainer asking me if everything is fine i wa like i support and am very happy about the demonetization,Positive
great step by you sir narendramodi ji for blackout black money all the people also cooperative and i m support of the step demonetization,Positive
great measure of demonetization adopted by indian govt to constraint blackmoney masterstrock modi welldone,Positive
govt imposes policy like demonetization and ask citizen to go cashless to instistutions like aiims still ask the patient to submit1,Negative
govt ha reached level of desperation to overcome blunder of demonetization robert vadra â,Neutral
govt ha not only demonetized the r they have demonised it ppl put to great hardship indiafightscorruption demonetization,Negative
govt ha agreed that about lakh crore of blackmoney ha been deposited post demonetization asked concerned authority to investigate,Neutral
govt didnt inform of step on demonetization earlier a it d hav allowed some to convert cash to gold,Positive
govt assures people after confusion over demonetization say your hard earned money is safe,Neutral
government form atm task force to deal with cashcrunch demonetization,Neutral
government did demonetization to break back of opposition so naturally couldn t consult them,Neutral
government announcement which gave honesttaxpayer happyfeeling indiamodified achedin indiafightscorruption demonetization,Neutral
got a big stash of r r note here is how you can still make them demonetization,Neutral
gopio europe convention back demonetization â,Neutral
good move demonetization but black money operator using bank employee to fill multiple form of r each stop otc exchng,Positive
good and detailed piece breaking down why indian atm will take several day to be equipped to handle demonetization â,Neutral
gocashless with feeontime and enjoy the benefit of paying the fee hassle free onlinefee demonetization cashlessindiapic twitter com mezc6kxf7b,Neutral
go after the biggies instead of the common man if only shedding tear get you credibility demonetization â,Negative
give me 50days i will give u good thing to feel being proud indian all that my understanding of namo demonetization sagenaradamuni,Positive
giridih youth congress president conduct protest march against demonetization in this protest march,Negative
gabbbarsingh no narendramodi s demonetization speech wa a very secular move screw everybody,Neutral
gabbbar i think demonetization is a misnomer older note are replaced by newer note it s just aâ ghantagiri,Negative
funny evn child knw tht thy cn swap depo up to 5lakh w out any proof4source it s nt demonitisation bt demonetization,Neutral
fun watching the left intelligentsia ranting on and on and on about atm queue demonetization tax free foreign supply ending for you,Neutral
from very first day i am very clear that i am not against demonetization i am against it way of implementation,Positive
foreign tourist are facing extreme hardship due to demonetization can some special arrangement be made them narendramodi pmoindia,Negative
forced cashless society the u is behind indiaâ s brutal demonetization project,Negative
forced cashless society the u is behind indiaâ s brutal demonetization project,Negative
forbes the result from india s demonetization campaign are in finance currencypic twitter com 1uq21hglpl,Neutral
for those deshbhathimaans i can understand demonetization of buy why we need inr denomination again,Neutral
for the record it is spelt demonetization or demonetisation demonetization,Neutral
for the betterment it is advisable to take such step demonetization pmingoa primegoa tv_channel goa also,Positive
for now old currency is already replaced by new currency in a matter of two to three month rest will be taken care of demonetization,Neutral
for me this demonetization in an indirect and largest expansion of tax filing now there is no parallel grey economy in india oneindia,Neutral
for me it s clear that modi wanted to bring this demonetization plan and raghuraj rajan wa not intrested consd the ve impact,Neutral
for losing ill gotten blackmoney opp netas hv gone berserk agnst demonetization imagin their reaction if dey were2 lose hard earned money,Positive
for carrying cash post demonetization announcement â,Neutral
first major demonetization move for millennials in india to experience more such decisive reformist narendramodi style move to come,Positive
first demonetization now trump bad bad time for left libby electionnight modifightscorruption,Neutral
fat lot of good it will do to one who ha lost a child head need to roll for collosal incompetent execution demonetization,Negative
farmerstradition narendramodi ji we i stand with you for demonetization but this time you really fails wedojallikattu pongal2017,Negative
faq all question are answered take your time if you still have doubt about demonetization rbi investorforum,Neutral
fantastic move narendramodi just fantastic hit blackmoney where it hit hard demonetization pmoindia cashless,Positive
fakecurrency is a cancer in indianeconomy demonetization is the best treatment for it yet some irresponsible people oppose it,Positive
face the truth demonetization will clear fake and black money but the preparation is not enough public and ngo must help too manakgupta,Negative
extreme level of demonetization life lae 1st time swiped forâ â,Neutral
exercise like this demonetization will also help bring some excitement into our drab boring life something like the hunger game,Negative
exclusive interview with resepcted santosh mehrotra do not work demonetization donotmiss,Neutral
except pakistani terrorist maoist anti national rest everyone in the world are with narendramodi on demonetization iamwithmodi,Neutral
exactly what i feared about demonetization effect in rural area of india â blackmoneycleanup,Negative
everyone said narendramodi doing nothing for punjab demonetization at one shot kill the entire drug money chain,Positive
everyone in india lighting such cake with a thousand rupee note demonetization pic twitter com szxkgo9toe,Neutral
every rumor about demonetization ha been proven false almost all were saying essential good will become costly opposite happened amazing,Positive
every one asking question on demonetization isn t doing so with the intent of discouraging d govt asking question keep govt proactive,Neutral
even if you re white money even if you re unaffected this demonetization move ha given a lot of folk a reason to pause think lt,Neutral
even a poor illiterate is clear that demonetization will affect only rich rahulgandhi wouldn t able to grasp it rahulkanwal anuragibn,Positive
enough loophole in the system to redeem undeclared income demonetization,Negative
emergency session of delhiassembly called tomorrow over demonetization crisis delhicm arvindkejriwal aamaadmiparty pmoindia,Neutral
emember this day a we have truly started treading the path of being a superpower today narendramodi blackmoney currency demonetization,Positive
else no doubt demonetization is great for county future nd india will b in different league altogether due to demonetisation in long term,Positive
either people are brilliant actor or there is something wrong yet to come across a person who is criticising this move demonetization,Positive
effectiveness of demonetization depends on how soon can we bring informal sector to formal sector shubhashis gangopadhyay idf budget17pic twitter com fylunj1lol,Neutral
effect of demonetization â,Neutral
easy4d rich 2say it s a mattr of a fw dy nly ask the daily wager who toil thru dday nly2 retrn home wid no money r food demonetization,Negative
easiest way to end corruption befriend with corrupt pmmodiinpune pmwithpawar demonetization,Negative
durng pasage f hard constipated stool whn d whole body put n efort to push it frwrd only d asshole complains of pain demonetization,Negative
drgpradhan sir why is r3 commenting against demonetization,Neutral
donaldtrump first medium interaction tough time ahead for u â china samsung demonetization pakistan,Neutral
dollar strength impact on indian market is waning a dii inflow strengthen a demonetization lead to more formal mean of investing,Neutral
doing the right thing often requires great courage and patience demonetization and cashlesstransaction by pmnarendramodi are example,Positive
doe this ha any connection to demonetization it sure ha â pic twitter com deu1dkrump,Neutral
doe dharna anarchy he won a magsaysay talk nonsense 24x7 he s an iitian talk nonsense on demonetization he s ex irs kejri,Neutral
doe demonetization move will help curb online financial fraud,Neutral
doe bollywood feel underworld ransoming will lessen after demonetization many film people supporting,Positive
do you want to know what the bjp really thought about demonetization when in opposition â,Neutral
do you know the greatest benefit of this historic decision against blackmoney â demonetization narendramodi,Positive
do u think demonetization will achieve it aim of wiping out black money demonetization,Neutral
do surgical strike on remaining to get hold of that black money demonetization,Negative
do not panic take step wisely to avoid loss of your r and r note â demonetization rs500 rs1000 money,Positive
do not miss out on sale because of demonetization go cashless in minute with instamojo,Neutral
discus issue not people me demonetization is causing chaos person2 don t listen to arvindkejriwal dontbeperson2 vishaldadlani,Neutral
dipawali dull property down industrial output decreased gold not being sold paytm not preferred modi down recourse demonetization,Negative
digitalbanking and demonetization in india understanding key player â,Neutral
didn t know the wakeupcall can be this shocking demonetization currency indiancurrency,Neutral
didi ha nothing left after demonetization imam is under wrong impression that he will get a cut in this deal,Neutral
demonitisation surely this hashtag ha been misspelled demonetization or demonetisation,Neutral
demonetization yet another nail in the coffin of black money by pm narendramodi thankyou sir,Positive
demonetization would be welcome if the dishonest shed tear i saw only one dishonest guy shedding crocodile tear fekuji â,Positive
demonetization worked here is the proof aamaadmiparty ndtv demonetisationpic twitter com cmg5rotwja,Positive
demonetization won t unearth black money cpi m â pic twitter com wvuiyogkb3,Negative
demonetization witless and anti people thecitizen_in via zigzackly,Neutral
demonetization witless and anti people,Neutral
demonetization will wipe out corruption at all level this is a very strong move aishwarya rai â bjpnewstrack,Positive
demonetization will reduce interest rate kick start economy revive stalled project reduce fiscaldeficit in short great for india,Positive
demonetization will improve the life of billion indian and will have a significant effect on the entire global economy pic twitter com 1rr5yjis1w,Positive
demonetization will hurt already stressed rural economy will not get 15lakhs not stop blackmoney generation rather hit small business,Negative
demonetization why not ask the bank defaulter to remit even if it is black money and not penalise them npa will come down,Positive
demonetization who is paying the price congress upa politician their friend or the citizen small business pic twitter com 0uvcxhov5i,Negative
demonetization what s happening what could have been done better and the impact of a good decision but,Neutral
demonetization what could be a tougher reply to pakistan for it indulgance in terrorist activity,Positive
demonetization vat collection for dec lower than last year pic twitter com togds36gza,Neutral
demonetization vat collection for dec lower than last year pic twitter com 0ypdlno3hd,Neutral
demonetization to hit private college hard via toicitiesnews blackmoney india,Negative
demonetization to herald more calamity,Negative
demonetization to have an impact on farmer buying power farm input stock to be under pressure for the quarter,Negative
demonetization to filter dirty oil you have to pas all oil through a filter only dirt can t pas through filter bank dirt bm hoarder,Neutral
demonetization to cut india s q3 growth to crisil reduced gdp growth forecast from to fitch pic twitter com jzybjigzpf,Neutral
demonetization this is a new indian sunrise â pic twitter com o68czqm018,Neutral
demonetization there will no need for the govt to capitalize psu bank public deposit will provide the breather they require,Neutral
demonetization the surgical strike to kill india calamity not top end,Negative
demonetization the old currency of r and r should be accepted at all public utility and ease out,Neutral
demonetization thank you modi ji happily proudly standing in line for economicrevolutionofindia appeal to all indian pls support,Positive
demonetization strategic step towards teaching how to use the hard earned paisa wise,Positive
demonetization stifle gambling activity in surat suratpolice via toicitiesnews,Neutral
demonetization some are happy despite standing wholeday in bank line a they think few guy in neighbourhood will waste his currency note,Positive
demonetization situation may become worse for common man so therefore for government also read more,Negative
demonetization should be followed up with the round up of black wealth a well and pm may not act on this count for reason known to all â,Negative
demonetization seems to have no effect on him are the ultra rich insulated â,Negative
demonetization scheme is turning in a national crisis finminindia rbi must take it a emergency salute to the people in q patiently,Negative
demonetization rich know how to circumvent benefit to govt do not outweigh cost to people in term of great inconvenience to them,Negative
demonetization result r out the supply line to terror activity have been hit hard â,Positive
demonetization rajendra auto driver inconvenient but modiji rock i support him sentiment echoed by s lot of others like him pic twitter com fwbjusv68l,Positive
demonetization rajdeep sardesai is busy instigating folk waiting patiently in line awesome ground reporting,Neutral
demonetization question suggestion pro tip â,Neutral
demonetization prof justice win and honesty prevails salute the pm of india for such a great move to enable transparency in the system,Positive
demonetization positive impact on real estate uncategorized housingforallscheme,Positive
demonetization pm should stop blaming congress for emergency day but act on improving money distribution to the needy on a war footing,Neutral
demonetization pm modi s mother walk to bank to exchange old currency note pic twitter com ecbi9li4lk â,Neutral
demonetization pm modi hold meeting with senior minister official â,Neutral
demonetization pinch president elect trump too he say he will take only r only per annum a salary pic twitter com cjniizdylw,Neutral
demonetization parliamentsession show your solidarity for the people who are standing in long line for cash,Negative
demonetization order food in train with khanagadi app pay online and get discount on your meal,Neutral
demonetization of useful in future to control corruption black money terrorism congrats to finminindia rbi govt of india,Positive
demonetization of rupee note to strengthen inr to above a usd from current level,Neutral
demonetization of r r farmer will not be taxed say pm modi via narendramodi,Neutral
demonetization of r note here is what we can do blackmoney indiafightscorruptionpic twitter com hqhg4p6xsl,Neutral
demonetization of r note full feature jpg 2pic twitter com azwsc8cgm9,Neutral
demonetization of r and r note ha helped with massive growth in digital transaction like paytm and mobikwik,Neutral
